epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,432.509,0.35288,0.43628,0.29532,0.91827,0.95126,0.91304,0.90057,0.79753,0.95126,0.91304,0.89898,0.81588,0.5748,1.54601,0.56605,0.71735,0.0004952,0.0004952,0.0004952
78,438.154,0.35373,0.3973,0.28601,0.90896,0.95102,0.91304,0.89613,0.78291,0.95102,0.91304,0.89341,0.80114,0.47612,1.53403,0.44833,0.64243,0.0004754,0.0004754,0.0004754
79,443.689,0.32861,0.37579,0.28001,0.91534,0.95094,0.91304,0.90842,0.81656,0.95094,0.91304,0.89367,0.80781,0.46314,1.48563,0.45924,0.6737,0.0004556,0.0004556,0.0004556
80,449.199,0.33453,0.38931,0.27258,0.92657,0.90758,0.91304,0.90055,0.79045,0.90758,0.91304,0.88265,0.7933,0.4596,1.54263,0.42854,0.68429,0.0004358,0.0004358,0.0004358
81,454.758,0.34461,0.43701,0.27291,0.91597,0.95448,0.91181,0.88437,0.76642,0.95448,0.91181,0.87847,0.7878,0.50318,1.50699,0.47544,0.72643,0.000416,0.000416,0.000416
82,460.277,0.31465,0.36224,0.24907,0.91588,0.94972,0.91304,0.88046,0.76966,0.94972,0.91304,0.8779,0.78915,0.5247,1.4446,0.53649,0.74046,0.0003962,0.0003962,0.0003962
83,465.705,0.31936,0.37229,0.25977,0.90768,0.95161,0.91304,0.87744,0.75439,0.95161,0.91304,0.87744,0.77935,0.53276,1.49133,0.61516,0.76088,0.0003764,0.0003764,0.0003764
84,471.178,0.33216,0.4153,0.26451,0.91391,0.87451,0.90915,0.86817,0.75582,0.87451,0.90915,0.86817,0.78186,0.49343,1.51234,0.5651,0.73765,0.0003566,0.0003566,0.0003566
85,476.638,0.3141,0.37405,0.25871,0.91422,0.85934,0.86957,0.85757,0.76954,0.85934,0.86957,0.85757,0.7898,0.48665,1.2838,0.53335,0.74058,0.0003368,0.0003368,0.0003368
86,482.094,0.31669,0.38035,0.2655,0.91673,0.89903,0.86957,0.87081,0.79184,0.89903,0.86957,0.87081,0.80457,0.48896,1.31823,0.53476,0.73607,0.000317,0.000317,0.000317
87,487.685,0.30233,0.372,0.24426,0.90159,0.94948,0.81744,0.87417,0.78518,0.94948,0.81744,0.87417,0.79462,0.50202,1.37027,0.55639,0.75109,0.0002972,0.0002972,0.0002972
88,493.161,0.32038,0.3891,0.25776,0.9243,0.90274,0.78261,0.83605,0.75573,0.90274,0.78261,0.83605,0.76615,0.4836,1.44126,0.6051,0.72579,0.0002774,0.0002774,0.0002774
89,498.675,0.33322,0.39802,0.27507,0.92188,0.9045,0.82367,0.85335,0.76552,0.9045,0.82367,0.85335,0.76592,0.48658,1.60543,0.5688,0.71726,0.0002576,0.0002576,0.0002576
90,504.245,0.29629,0.34486,0.24093,0.89266,0.90323,0.86957,0.8719,0.78816,0.90323,0.86957,0.8719,0.78041,0.52216,1.60794,0.5589,0.74783,0.0002378,0.0002378,0.0002378
91,513.28,0.23445,0.35452,0.32923,0.90564,0.94918,0.91304,0.89136,0.78898,0.94918,0.91304,0.88933,0.79195,0.52687,1.46234,0.55826,0.74013,0.000218,0.000218,0.000218
92,518.659,0.2269,0.28868,0.23332,0.91268,0.94631,0.86957,0.87589,0.77734,0.94631,0.86957,0.87589,0.78217,0.52587,1.45036,0.56382,0.75534,0.0001982,0.0001982,0.0001982
93,524.182,0.23599,0.30973,0.23978,0.94131,0.90297,0.86957,0.86987,0.78851,0.90297,0.86957,0.86987,0.79085,0.55483,1.45513,0.57998,0.7726,0.0001784,0.0001784,0.0001784
94,529.591,0.22018,0.28316,0.22737,0.93453,0.90517,0.86957,0.8724,0.79605,0.90517,0.86957,0.8724,0.78838,0.52553,1.44918,0.54937,0.74409,0.0001586,0.0001586,0.0001586
95,534.943,0.1925,0.30289,0.19881,0.89944,0.87457,0.90961,0.87519,0.79453,0.87457,0.90961,0.87519,0.79068,0.51914,1.45733,0.53038,0.73507,0.0001388,0.0001388,0.0001388
96,540.359,0.19366,0.31049,0.20313,0.89021,0.91124,0.91304,0.88163,0.8051,0.91124,0.91304,0.88163,0.80167,0.50751,1.48566,0.51114,0.70917,0.000119,0.000119,0.000119
97,545.855,0.19763,0.28968,0.20107,0.88855,0.90866,0.91304,0.88346,0.80343,0.90866,0.91304,0.88346,0.80522,0.51853,1.54687,0.52832,0.71829,9.92e-05,9.92e-05,9.92e-05
98,551.263,0.18993,0.25636,0.19312,0.89479,0.91274,0.9097,0.88278,0.801,0.91274,0.9097,0.88278,0.80523,0.50906,1.51617,0.5268,0.69822,7.94e-05,7.94e-05,7.94e-05
99,556.628,0.18684,0.2582,0.18728,0.90058,0.95165,0.85624,0.886,0.80416,0.95165,0.85624,0.886,0.8084,0.5171,1.4941,0.53927,0.71031,5.96e-05,5.96e-05,5.96e-05
100,562.081,0.1838,0.2728,0.19,0.8797,0.92861,0.82609,0.87897,0.8074,0.92861,0.82609,0.87897,0.81067,0.52852,1.51363,0.54574,0.71692,3.98e-05,3.98e-05,3.98e-05
